,Year,Oil (TWh; substituted energy),Traditional bimass (TWh; substituted energy),Coal (TWh; substituted energy)
0,1800,0,5556,97
1,1810,0,5833,128
2,1820,0,6111,153
3,1830,0,6389,264
4,1840,0,6944,356
5,1850,0,7222,569
6,1860,0,6944,1061
7,1870,6,6944,1642
8,1880,33,6944,2542
9,1890,89,6667,3856
10,1900,181,6111,5728
11,1910,397,6389,8656
12,1920,889,6944,9833
13,1930,1756,7222,10125
14,1940,2653,7222,11586
15,1950,5444,7500,12603
16,1960,11097,8889,15442
17,1965,18109,9162,16140
18,1966,19496,9218,16324
19,1967,20891,9274,16061
20,1968,22675,9331,16301
21,1969,24577,9387,16799
22,1970,26708,9444,17059
23,1971,28205,9499,16966
24,1972,30378,9553,17154
25,1973,32746,9608,17668
26,1974,32272,9663,17682
27,1975,31948,9718,18025
28,1976,34030,9774,18688
29,1977,35215,9830,19241
30,1978,36426,9886,19458
31,1979,37024,9943,20364
32,1980,35577,10000,20858
33,1981,34296,10106,21150
34,1982,33198,10213,21384
35,1983,32969,10321,22045
36,1984,33739,10430,23000
37,1985,33789,10541,23986
38,1986,34803,10653,24256
39,1987,35499,10765,25210
40,1988,36703,10879,25965
41,1989,37300,10995,26213
42,1990,37691,11111,25895
43,1991,37691,11243,25643
44,1992,38344,11376,25550
45,1993,38099,11511,25675
46,1994,38935,11647,25774
47,1995,39445,11785,25954
48,1996,40380,11925,26572
49,1997,41413,12066,26527
50,1998,41624,12209,26360
51,1999,42371,12414,26522
52,2000,42897,12500,27417
53,2001,43278,12500,27853
54,2002,43639,12470,28945
55,2003,44610,12329,31497
56,2004,46256,12160,33664
57,2005,46824,12076,36171
58,2006,47367,11993,38071
59,2007,47958,11911,40224
60,2008,47566,11829,40770
61,2009,46654,11747,40149
62,2010,48087,11667,41997
63,2011,48550,11553,44018
64,2012,49157,11441,44185
65,2013,49689,11330,44993
66,2014,50014,11220,44954
67,2015,50892,11111,43844
68,2016,51920,11111,43196
69,2017,52568,11111,43360
70,2018,53181,11111,44109
71,2019,53620,11111,43849
